رقم,الاسم,المكونات,التوفير,السعر,مميز,ظاهر
1,كومبو الدبل,2× قهوة اليوم كبير + كوكيز فاخر,وفّر 4.01 ر.س,21.99,,نعم
2,كومبو اللمة الصغيرة,2× قهوة اليوم كبير + كوكيز فاخر + بودينق شوكلت,وفّر 7 ر.س,33.99,,نعم
3,كومبو الجمعة 3×3 ★,3× قهوة اليوم كبير + 3× كوكيز فاخر,وفّر 9.01 ر.س,41.99,نعم,نعم
4,كومبو الديوانية,4× قهوة اليوم كبير + كوكيز بايتس + دبل شوكلت + بودينق بيكان,وفّر 12.98 ر.س,57.99,,نعم
5,كومبو الطلعة,3× موهيتو أي نكهة + كوكيز بايتس,وفّر 9 ر.س,39.99,,نعم
6,كومبو الكرك,4× شاي كرك + كوكيز ميني,وفّر 4 ر.س,18.99,,نعم
7,كومبو الضيافة,2× سبانش لاتيه كبير + تشيز كيك مدريد + كوكيز فاخر,وفّر 10 ر.س,46.99,,نعم
8,دبل في 60,2× في 60 حار أو آيس,وفّر 5.01 ر.س,24.99,,نعم
9,كومبو التذوق,في 60 حار أو آيس + قهوة اليوم كبير,وفّر 4.01 ر.س,19.99,,نعم
10,في 60 جمعة,3× في 60 حار أو آيس,وفّر 9.01 ر.س,35.99,,نعم
11,لمة السبيشلتي 3×3,3× في 60 + 3× كوكيز فاخر,وفّر 14.01 ر.س,54.99,,نعم
12,قهوة الدوام,4× قهوة اليوم كبير,وفّر 6.01 ر.س,29.99,,نعم
13,قهوة اللمة الكبيرة,6× قهوة اليوم كبير,وفّر 10.01 ر.س,43.99,,نعم
14,كومبو نص نص,2× في 60 + 2× قهوة اليوم كبير,وفّر 9.01 ر.س,38.99,,نعم
