القسم,الصنف,Item,الوصف,الحجم,السعر,شارة,الصورة,ظاهر
المخبوزات والحلويات,كوكيز فاخر,Premium Cookie,كوكي شوكولاتة بمذاق فاخر مع ملح البحر,,8,الأكثر مبيعاً,bakery_8f772b.jpg,نعم
المخبوزات والحلويات,كوكيز دبل شوكلت,Double Chocolate Cookies,كوكيز غني بالشوكولاتة الداكنة والحليب,,11,جديد,,نعم
المخبوزات والحلويات,كوكيز بايتس,Cookie Bites,قطع كوكيز صغيرة مثالية للمشاركة,,9.99,جديد,,نعم
المخبوزات والحلويات,كوكيز ميني,Mini Cookies,كوكيز ميني بحجم لقمة,,6.99,جديد,,نعم
المخبوزات والحلويات,بودينق شوكلت,Chocolate Pudding,طبقات كريمية مع الشوكولاتة الفاخرة,,13,الأكثر مبيعاً,bakery_ba3fba.jpg,نعم
المخبوزات والحلويات,بودينق بيكان,Pecan Pudding,بودينق كريمي مع البيكان المحمّص,,13,,,نعم
المخبوزات والحلويات,كرواسون جبنة بيضاء,White Cheese Croissant,كرواسون فرنسي طازج محشو جبنة بيضاء,,10.99,جديد,bakery_6e7ad3.jpg,نعم
المخبوزات والحلويات,كرواسون جبنة صفراء,Yellow Cheese Croissant,كرواسون فرنسي طازج محشو جبنة صفراء,,10.99,جديد,,نعم
المخبوزات والحلويات,تشيز كيك مدريد,Madrid Cheesecake,تشيز كيك إسباني محروق بقوام كريمي,,15,جديد,bakery_92856a.jpg,نعم
المخبوزات والحلويات,دولتشي كندر,Dolce Kinder,حلا دولتشي بنكهة كندر,,15,,,نعم
المخبوزات والحلويات,دولتشي بيكان,Dolce Pecan,حلا دولتشي بالبيكان,,15,,,نعم
المخبوزات والحلويات,تيراميسو,Tiramisu,تيراميسو طبقات قهوة وكريمة,,13,,,نعم
المخبوزات والحلويات,حلا البيبسي,Pepsi Dessert,حلا البيبسي,,10,,,نعم
المشروبات الساخنة,قهوة اليوم,Coffee of the Day,قهوة فلتر يومية بنكهة محصول مختار,S,7,الأكثر مبيعاً,hot_1287ca.jpg,نعم
المشروبات الساخنة,قهوة اليوم,Coffee of the Day,قهوة فلتر يومية بنكهة محصول مختار,L,9,الأكثر مبيعاً,hot_1287ca.jpg,نعم
المشروبات الساخنة,أمريكانو,Americano,إسبريسو ساخن مع ماء مغلي,S,8,,hot_4c4760.jpg,نعم
المشروبات الساخنة,أمريكانو,Americano,إسبريسو ساخن مع ماء مغلي,L,10,,hot_4c4760.jpg,نعم
المشروبات الساخنة,اسبريسو,Espresso,جرعة إسبريسو فاخرة بكريمة ذهبية,,6,جديد,hot_ab5f53.jpg,نعم
المشروبات الساخنة,لاتيه,BB Latte,إسبريسو فاخر مع حليب مخفوق ناعم,S,11,,hot_8fa506.jpg,نعم
المشروبات الساخنة,لاتيه,BB Latte,إسبريسو فاخر مع حليب مخفوق ناعم,L,14,,hot_8fa506.jpg,نعم
المشروبات الساخنة,كابتشينو,Cappuccino,إسبريسو مع رغوة كثيفة وقرفة,S,11,,hot_a49010.jpg,نعم
المشروبات الساخنة,كابتشينو,Cappuccino,إسبريسو مع رغوة كثيفة وقرفة,L,14,,hot_a49010.jpg,نعم
المشروبات الساخنة,فلات وايت,Flat White,طبقة رقيقة من رغوة الحليب على إسبريسو دبل,,11,,hot_6459da.jpg,نعم
المشروبات الساخنة,كورتادو,Cortado,إسبريسو مع حليب مبخّر بنسب متساوية,,10,جديد,,نعم
المشروبات الساخنة,ميكاتو,Macchiato,إسبريسو مع لمسة رغوة حليب,,9,جديد,,نعم
المشروبات الساخنة,موكا,Mocha,إسبريسو مع شوكولاتة وحليب مخفوق,S,12,,hot_47573d.jpg,نعم
المشروبات الساخنة,موكا,Mocha,إسبريسو مع شوكولاتة وحليب مخفوق,L,15,,hot_47573d.jpg,نعم
المشروبات الساخنة,وايت موكا,White Mocha,إسبريسو مع شوكولاتة بيضاء وحليب,S,13,جديد,,نعم
المشروبات الساخنة,وايت موكا,White Mocha,إسبريسو مع شوكولاتة بيضاء وحليب,L,16,جديد,,نعم
المشروبات الساخنة,سبانش لاتيه,Spanish Latte,طبقات من الحليب المحلى مع إسبريسو,S,13,,hot_75da69.jpg,نعم
المشروبات الساخنة,سبانش لاتيه,Spanish Latte,طبقات من الحليب المحلى مع إسبريسو,L,16,,hot_75da69.jpg,نعم
المشروبات الساخنة,كراميل ميكاتو,Caramel Macchiato,حليب مخفوق مع إسبريسو وصوص كراميل,S,13,جديد,,نعم
المشروبات الساخنة,كراميل ميكاتو,Caramel Macchiato,حليب مخفوق مع إسبريسو وصوص كراميل,L,16,جديد,,نعم
المشروبات الساخنة,بستاشيو لاتيه,Pistachio Latte,لاتيه بنكهة الفستق الفاخر,S,14,جديد,,نعم
المشروبات الساخنة,بستاشيو لاتيه,Pistachio Latte,لاتيه بنكهة الفستق الفاخر,L,17,جديد,,نعم
المشروبات الساخنة,كوفي توفي,Coffee Toffee,لاتيه بنكهة التوفي الغنية,S,13,جديد,,نعم
المشروبات الساخنة,كوفي توفي,Coffee Toffee,لاتيه بنكهة التوفي الغنية,L,16,جديد,,نعم
المشروبات الساخنة,هوت شوكلت,Hot Chocolate,شوكولاتة ساخنة كريمية,S,12,جديد,,نعم
المشروبات الساخنة,هوت شوكلت,Hot Chocolate,شوكولاتة ساخنة كريمية,L,14,جديد,,نعم
المشروبات الساخنة,قهوة فرنسية,French Coffee,قهوة فرنسية بالحليب والبندق,,10,جديد,,نعم
المشروبات الساخنة,قهوة تركي,Turkish Coffee,قهوة تركية على الأصول,,8,جديد,,نعم
المشروبات الساخنة,قهوة تركي بالحليب,Turkish Coffee w/ Milk,قهوة تركية ناعمة بالحليب,,9,جديد,,نعم
المشروبات الساخنة,قهوة عربية,Arabic Coffee,قهوة عربية بالهيل والزعفران,,8,جديد,,نعم
المشروبات الساخنة,قهوة ايطالية,Italian Coffee,قهوة إيطالية غنية ومركزة,,10,جديد,,نعم
المشروبات الساخنة,نسكافيه,Nescafe,نسكافيه كلاسيكي أو بالحليب,,8,جديد,,نعم
المشروبات الساخنة,سحلب,Sahlab,سحلب دافئ كريمي بالمكسرات والقرفة,,12,جديد,,نعم
الشاي والماتشا,ماتشا لاتيه ساخن,Hot Matcha Latte,ماتشا دافئ مع حليب مخفوق,S,14,,tea_9d9781.jpg,نعم
الشاي والماتشا,ماتشا لاتيه ساخن,Hot Matcha Latte,ماتشا دافئ مع حليب مخفوق,L,17,,tea_9d9781.jpg,نعم
الشاي والماتشا,آيس ماتشا,Iced Matcha,ماتشا ياباني فاخر مع حليب مثلج,S,14,,tea_fb0080.jpg,نعم
الشاي والماتشا,آيس ماتشا,Iced Matcha,ماتشا ياباني فاخر مع حليب مثلج,L,17,,tea_fb0080.jpg,نعم
الشاي والماتشا,آيس ماتشا لافندر,Iced Matcha Lavender,ماتشا مثلج بلمسة لافندر,,18,جديد,,نعم
الشاي والماتشا,شاي كرك,Karak Tea,شاي كرك بالحليب والهيل,,4,جديد,,نعم
الشاي والماتشا,شاي مغربي,Moroccan Tea,شاي أخضر مغربي بالنعناع,,8,جديد,,نعم
الشاي والماتشا,شاي انجليزي أحمر,English Red Tea,شاي أحمر إنجليزي فاخر,,5,جديد,,نعم
الشاي والماتشا,شاي انجليزي أخضر,English Green Tea,شاي أخضر إنجليزي منعش,,5,جديد,,نعم
الشاي والماتشا,شاي ربيع,Rabea Tea,شاي ربيع كلاسيكي,,2,جديد,,نعم
الشاي والماتشا,شاي الكبوس,Kabous Tea,شاي الكبوس الأصيل,,2,جديد,,نعم
الشاي والماتشا,شاي ايطالي,Italian Tea,شاي إيطالي بنكهات مميزة,,6,جديد,,نعم
الشاي والماتشا,آيس تي خوخ,Peach Ice Tea,شاي مثلج منعش بنكهة الخوخ,S,9,جديد,,نعم
الشاي والماتشا,آيس تي خوخ,Peach Ice Tea,شاي مثلج منعش بنكهة الخوخ,L,12,جديد,,نعم
المشروبات الباردة,آيس أمريكانو,Iced Americano,إسبريسو دبل مع ماء مثلج,S,8,,iced_2aef38.jpg,نعم
المشروبات الباردة,آيس أمريكانو,Iced Americano,إسبريسو دبل مع ماء مثلج,L,10,,iced_2aef38.jpg,نعم
المشروبات الباردة,آيس فريدو,Espresso Freddo,إسبريسو مخفوق مثلج على الطريقة اليونانية,,12,جديد,iced_1b0f3a.jpg,نعم
المشروبات الباردة,آيس قهوة اليوم,Iced Coffee of the Day,قهوة اليوم مقدمة باردة مع الثلج,S,8,جديد,,نعم
المشروبات الباردة,آيس قهوة اليوم,Iced Coffee of the Day,قهوة اليوم مقدمة باردة مع الثلج,L,10,جديد,,نعم
المشروبات الباردة,آيس لاتيه,Iced Latte,إسبريسو مع حليب بارد وثلج,S,11,جديد,,نعم
المشروبات الباردة,آيس لاتيه,Iced Latte,إسبريسو مع حليب بارد وثلج,L,14,جديد,,نعم
المشروبات الباردة,آيس سبانش لاتيه,Iced Spanish Latte,سبانش لاتيه منعش مع الثلج,S,13,جديد,,نعم
المشروبات الباردة,آيس سبانش لاتيه,Iced Spanish Latte,سبانش لاتيه منعش مع الثلج,L,16,جديد,,نعم
المشروبات الباردة,آيس موكا,Iced Mocha,موكا باردة بالشوكولاتة,S,12,جديد,,نعم
المشروبات الباردة,آيس موكا,Iced Mocha,موكا باردة بالشوكولاتة,L,15,جديد,,نعم
